Year,Month,Day,Temperature,Humidity,Wind_Speed,Precipitation,Daylight,Air_Quality_Index_NOx,Cloud_Cover,Solar_radiation
2015,6,15,0.890459,0.092409,0.095718,0.007464,0.390731,0.305463,-0.832881,18.81
2015,6,16,0.893993,0.008056,0.161209,0,1.240453,0.273133,-1.20348,24.53
2015,6,17,0.904594,0.008056,0.193955,0,1.652439,0.230769,-1.162302,27.74
2015,6,18,0.915194,-0.160651,0.156171,0,1.703937,0.254181,-0.668171,27.68
2015,6,19,0.915194,-0.160651,0.186398,0,1.394948,0.269788,-1.162302,26.75
2015,6,20,0.929329,-0.160651,0.141058,0,1.266202,0.218506,-0.503461,25.6
2015,6,21,0.844523,0.935942,0.221662,0.110041,-0.433242,0.179487,0.484801,14.42
2015,6,22,0.826855,1.104648,0.234257,0.059957,-0.922476,0.253066,0.773044,10.23
2015,6,23,0.798587,1.273355,0.15869,0.126655,-1.231465,0.279822,0.814222,7.91
2015,6,24,0.830389,1.020295,0.148615,0.023357,-1.205716,0.257525,0.731866,10.12
2015,6,25,0.823322,1.104648,0.143577,0.062124,-1.076971,0.295429,0.814222,6.74
2015,6,26,0.879859,0.429822,0.156171,0.025042,0.442229,0.25641,-0.00933,19.68
2015,6,27,0.915194,0.008056,0.186398,0,0.957212,0.25641,-0.626994,20.93
2015,6,28,0.908127,0.092409,0.171285,0.009872,1.472195,0.199554,-0.17404,25.32
2015,6,29,0.911661,-0.076297,0.193955,0,1.343449,0.237458,-0.585816,23.89
2015,6,30,0.915194,0.092409,0.171285,0,0.648222,0.217391,-0.091685,21.61
2015,7,1,0.922261,0.092409,0.183879,0,1.00871,0.186176,0.402446,23.73
2015,7,2,0.922261,0.092409,0.198992,0,0.72547,0.204013,0.525979,23.12
2015,7,3,0.915194,0.176763,0.163728,0,0.364982,0.239688,0.484801,18.21
2015,7,4,0.908127,0.008056,0.110831,0,0.545226,0.270903,0.402446,17.91
2015,7,5,0.883392,0.176763,0.141058,0,1.523693,0.201784,0.031848,27.02
2015,7,6,0.883392,-0.498064,0.13602,0,-0.587737,0.265329,0.484801,12.46
2015,7,7,0.872792,-1.425949,0.193955,0,0.545226,0.177258,0.031848,20.64
2015,7,8,0.858657,-1.341596,0.166247,0,-0.021255,0.177258,0.567156,19.43
2015,7,9,0.809187,-0.41371,0.20403,0.006261,-1.205716,0.189521,0.814222,9.99
2015,7,10,0.837456,0.429822,0.219144,0.063569,0.570975,0.206243,0.567156,20.6
2015,7,11,0.904594,-0.41371,0.128463,0,0.879965,0.347826,-1.079947,20.84
2015,7,12,0.929329,-0.160651,0.118388,0,1.137456,0.217391,-1.038769,21.96
2015,7,13,0.915194,0.008056,0.13602,0,1.085958,0.269788,-0.379928,21.62
2015,7,14,0.897527,0.176763,0.09068,0,-0.072754,0.25641,-0.050507,14.51
2015,7,15,0.904594,0.176763,0.120907,0,0.364982,0.239688,0.196558,19.21
2015,7,16,0.897527,0.261116,0.108312,0.007946,0.030243,0.248606,0.773044,14.34
2015,7,17,0.858657,0.345469,0.151134,0.00313,0.287734,0.283166,0.690689,18.61
2015,7,18,0.872792,0.429822,0.193955,0.000963,0.055992,0.209588,0.525979,16.43
2015,7,19,0.886926,-0.329357,0.234257,0.000241,0.313483,0.153846,0.237736,18.41
2015,7,20,0.791519,1.104648,0.173804,0.125211,-1.308713,0.217391,0.978932,3.08
2015,7,21,0.773852,0.851589,0.277078,0.104503,-1.308713,0.181717,1.020109,4.44
2015,7,22,0.780919,1.189002,0.178841,0.501806,-1.308713,0.254181,1.020109,1.63
2015,7,23,0.816254,0.767235,0.198992,0.117505,-1.231465,0.306577,0.896577,4.38
2015,7,24,0.848057,0.514176,0.309824,0.010354,-0.845228,0.302118,0.814222,8.19
2015,7,25,0.837456,0.514176,0.209068,0.026487,-1.128469,0.283166,0.814222,8.41
2015,7,26,0.837456,0.514176,0.221662,0.083072,-0.973974,0.241918,0.690689,10.37
2015,7,27,0.865724,0.261116,0.156171,0.001445,0.10749,0.247492,0.031848,18
2015,7,28,0.858657,-0.076297,0.115869,0,1.085958,0.276477,-0.626994,24.28
2015,7,29,0.819788,0.514176,0.110831,0.017096,0.055992,0.282051,-0.050507,16.33
2015,7,30,0.823322,0.261116,0.115869,0.002167,-0.433242,0.282051,0.15538,14.87
2015,7,31,0.844523,0.008056,0.120907,0,1.62669,0.249721,-0.791704,26.95
2015,8,1,0.848057,0.092409,0.130982,0,1.446446,0.239688,0.031848,24.94
2015,8,2,0.855124,0.008056,0.166247,0,1.62669,0.195095,-0.585816,27.21
2015,8,3,0.879859,-0.245004,0.065491,0,1.343449,0.267559,-1.244657,26.46
2015,8,4,0.858657,-0.160651,0.073048,0,0.158989,0.331104,-1.615255,16.08
2015,8,5,0.872792,-0.076297,0.11335,0,1.472195,0.284281,-1.69761,26.58
2015,8,6,0.893993,-0.41371,0.098237,0,1.420697,0.2932,-1.615255,24.56
2015,8,7,0.925795,-0.498064,0.148615,0,1.266202,0.419175,-1.162302,20.82
2015,8,8,1,-1.510303,0.161209,0,1.472195,0.314381,-0.544638,23.58
2015,8,9,0.932862,-0.66677,0.171285,0.042138,1.266202,0.255295,0.484801,23.29
2015,8,10,0.823322,0.598529,0.115869,0.065736,-1.154218,0.261984,0.814222,9.04
2015,8,11,0.865724,0.261116,0.123426,0.047676,0.364982,0.261984,0.361268,20.23
2015,8,12,0.897527,0.092409,0.120907,0,1.03446,0.280936,0.402446,22.94
2015,8,13,0.816254,0.935942,0.130982,0.102336,-1.282964,0.251951,0.649511,5.79
2015,8,14,0.787986,0.935942,0.047859,0.047917,-1.257215,0.316611,0.814222,4.29
2015,8,15,0.787986,0.851589,0.06801,0.055622,-1.231465,0.313266,0.814222,3.3
2015,8,16,0.858657,0.851589,0.118388,0.004816,-1.257215,0.19621,0.814222,8.59
2015,8,17,0.890459,0.345469,0.151134,0,0.854216,0.189521,0.525979,23.23
2015,8,18,0.893993,0.176763,0.163728,0,1.3177,0.239688,-0.050507,25.92
2015,8,19,0.890459,0.176763,0.156171,0,1.369199,0.237458,-0.379928,25.7
2015,8,20,0.862191,0.514176,0.100756,0.017337,-0.021255,0.304348,-0.050507,11.82
